,Crop,N,P,K,pH,soil_moisture
0,rice,80,40,40,5.5,30
1,maize,80,40,20,5.5,50
2,chickpea,40,60,80,5.5,60
3,kidneybeans,20,60,20,5.5,45
4,pigeonpeas,20,60,20,5.5,45
5,mothbeans,20,40,20,5.5,30
6,mungbean,20,40,20,5.5,80
7,blackgram,40,60,20,5,60
8,lentil,20,60,20,5.5,90
9,pomegranate,20,10,40,5.5,30
10,banana,100,75,50,6.5,40
11,mango,20,20,30,5,15
12,grapes,20,125,200,4,60
13,watermelon,100,10,50,5.5,70
14,muskmelon,100,10,50,5.5,30
15,apple,20,125,200,6.5,50
16,orange,20,10,10,4,60
17,papaya,50,50,50,6,20
18,coconut,20,10,30,5,45
19,cotton,120,40,20,5.5,70
20,jute,80,40,40,5.5,20
21,coffee,100,20,30,5.5,20
22,watermelon,80,40,50,5.5,35
23,mango,25,30,35,6,50
24,banana,75,50,45,6.5,60
25,rice,70,40,45,5.5,30
26,maize,90,30,20,5.5,40
27,pigeonpeas,20,55,20,5.5,60
28,chickpea,35,60,70,5.5,65
29,blackgram,40,65,15,5,80
30,lentil,25,60,15,5.5,90
31,pomegranate,15,12,45,5.5,28
32,grapes,25,120,190,4.2,65
33,apple,18,120,210,6,45
34,papaya,40,40,50,6,30
35,cotton,115,38,19,5.5,72
36,jute,85,38,42,5.5,18
37,coffee,105,18,29,5.5,19
38,mango,22,22,30,5.2,55
39,muskmelon,95,12,45,5.5,35
40,watermelon,85,8,48,5.5,60
41,banana,95,70,55,6.7,45
42,orange,30,12,13,4.2,58
43,apple,25,128,205,6.6,50
44,grapes,23,120,200,4.1,60
45,papaya,53,47,49,6.2,20
46,coconut,25,11,32,5.2,46
47,banana,90,78,52,6.5,43
48,pomegranate,22,9,40,5.5,31
49,orange,22,10,12,4.5,61
50,apple,19,122,210,6.4,48
51,mango,21,21,28,5.8,56
52,cotton,122,39,21,5.5,75
53,jute,81,41,38,5.5,19
54,coffee,110,22,30,5.5,20
55,muskmelon,100,12,47,5.5,34
56,watermelon,90,11,48,5.5,65
57,rice,72,42,43,5.5,29
58,maize,83,39,21,5.6,51
59,pigeonpeas,18,59,22,5.5,47
60,blackgram,42,63,18,5,59
61,lentil,24,63,19,5.5,89
62,pomegranate,18,11,43,5.5,32
63,grapes,22,118,195,4.3,64
64,mango,23,23,31,5.1,52
65,banana,80,72,53,6.4,47
66,rice,75,41,42,5.5,32
67,maize,88,31,22,5.5,42
68,pigeonpeas,22,61,19,5.5,61
69,chickpea,38,62,75,5.5,68
70,blackgram,38,62,21,5.1,62
71,lentil,26,61,21,5.5,91
72,pomegranate,19,13,42,5.5,33
73,grapes,24,122,198,4.3,63
74,mango,21,24,29,5.2,54
75,banana,92,75,51,6.6,46
76,orange,24,12,14,4.4,59
77,papaya,48,49,51,6.1,21
78,coconut,23,9,31,5.3,44
79,cotton,119,41,19,5.5,73
80,jute,82,40,41,5.5,17
81,coffee,102,19,29,5.5,18
82,watermelon,87,9,49,5.5,62
83,muskmelon,97,11,46,5.5,33
84,apple,26,126,209,6.7,51
85,grapes,22,123,202,4.4,60
86,papaya,51,46,50,6.3,22
87,coconut,21,10,33,5.2,45
88,cotton,118,39,20,5.5,72
89,jute,84,42,39,5.5,16
90,coffee,98,21,31,5.5,21
91,mango,20,20,30,5,53
92,muskmelon,99,12,49,5.5,36
93,watermelon,89,10,47,5.5,64
94,rice,71,43,41,5.5,33
95,maize,86,38,22,5.6,45
96,pigeonpeas,20,62,20,5.5,56
97,chickpea,37,61,72,5.5,66
98,blackgram,41,64,17,5,58
99,lentil,23,62,18,5.5,90